B;S;H0;H;Q;W;R;dB
2,50;3,00;3,07;5,30;682,00;10,50;5,08;136,60
2,50;2,50;3,26;5,30;130,00;9,60;32,25;135,00
3,00;3,00;3,50;6,00;170,00;11,75;41,21;134,00
3,00;3,00;3,50;6,00;315,25;11,75;16,76;133,80
2,50;3,00;3,69;5,50;159,90;8,50;8,86;137,50
3,00;3,00;2,84;5,50;450,00;12,50;9,41;133,40
3,00;3,00;3,50;6,00;170,00;11,75;30,70;133,30
3,00;3,00;3,50;6,00;285,00;11,75;16,88;133,20
3,00;3,00;2,84;5,50;450,00;12,50;20,94;132,80
3,00;2,50;3,60;5,30;117,00;8,00;7,83;133,40
3,00;3,00;3,50;6,00;270,00;11,75;23,44;132,70
3,00;2,50;2,45;5,75;784,00;15,50;7,82;132,70
3,00;3,00;3,50;6,00;270,00;11,75;35,43;132,60
3,00;3,00;3,50;6,00;315,25;11,75;20,25;132,60
1,00;2,00;1,87;2,20;46,50;1,55;13,23;132,40
2,50;3,00;2,69;6,20;1119,60;16,50;42,25;132,00
2,50;2,50;3,26;5,30;155,00;9,60;30,22;131,80
3,00;3,00;3,50;6,00;270,00;11,75;46,13;131,70
3,00;3,00;3,62;5,00;71,50;6,50;10,44;132,60
2,50;3,00;1,76;4,00;456,40;10,55;57,90;131,60
2,00;2,50;3,02;4,30;240,00;6,00;51,81;130,70
2,50;3,00;3,26;5,50;338,50;10,55;21,81;131,60
2,50;2,50;2,20;5,50;494,50;15,50;68,12;130,30
2,50;3,50;2,20;5,50;680,00;15,50;27,01;130,30
3,00;2,50;2,03;4,70;690,00;12,55;54,36;130,10
2,50;2,50;2,45;5,75;784,00;15,50;59,86;129,90
2,50;3,00;3,00;5,50;920,00;11,75;30,73;129,80
2,50;3,00;3,01;6,00;477,00;14,05;87,46;129,60
3,00;2,50;3,60;5,30;113,00;8,00;17,93;130,40
2,00;2,00;1,73;2,10;100,00;1,76;78,46;117,40
2,50;3,00;2,16;6,00;763,05;18,05;186,56;117,60
3,00;2,50;3,33;5,30;225,00;9,25;14,19;129,20
2,50;2,50;3,26;5,30;145,00;9,60;43,66;128,80
2,50;2,50;2,83;4,00;16,50;5,50;142,08;123,70
2,50;3,00;3,07;5,30;682,00;10,50;22,52;128,80
2,50;2,50;3,90;5,50;219,25;7,50;89,98;124,00
2,50;2,50;3,26;5,30;145,00;9,60;45,39;128,60
2,00;2,50;4,26;6,50;95,00;10,55;57,64;128,60
2,50;3,00;3,26;5,50;805,00;10,55;83,90;125,10
3,00;3,00;1,83;4,50;348,00;12,55;31,56;128,50
3,00;2,50;3,18;6,00;164,00;13,25;49,36;128,40
3,00;3,00;3,33;6,00;83,50;12,55;61,82;128,30
2,50;3,00;3,07;5,30;682,00;10,50;44,11;128,30
3,00;3,00;3,50;6,00;270,00;11,75;48,56;128,30
3,00;2,50;3,60;5,30;172,00;8,00;8,18;128,70
2,50;3,00;3,26;5,50;805,00;10,55;65,78;128,20
2,50;3,00;3,26;5,50;500,00;10,55;80,10;128,00
2,00;2,00;1,73;2,10;100,00;1,76;24,46;128,00
2,50;3,00;2,76;5,00;108,90;10,55;107,61;119,00
3,00;3,00;3,33;6,00;83,50;12,55;120,32;119,30
3,00;3,00;3,50;6,00;270,00;11,75;55,15;127,90
2,50;3,00;2,76;5,00;108,90;10,55;66,38;127,80
3,00;3,00;3,33;6,00;83,50;12,55;68,51;127,80
3,00;2,50;3,60;5,30;113,00;8,00;34,73;120,30
2,50;2,50;2,20;5,50;747,00;15,50;54,78;127,90
2,50;3,00;2,16;6,00;763,05;18,05;89,38;127,50
2,50;2,50;3,26;5,30;130,00;9,60;38,18;127,60
3,00;2,50;3,60;5,30;113,00;8,00;71,32;127,50
2,50;3,00;1,76;4,00;456,40;10,55;49,87;127,50
3,00;3,00;3,33;6,00;83,50;12,55;48,43;127,40
2,50;3,00;3,29;5,00;273,70;8,05;57,22;127,30
3,00;2,50;3,23;6,00;172,00;13,00;84,64;127,20
2,50;3,00;3,07;5,30;682,00;10,50;29,98;128,00
1,00;2,00;1,73;2,00;18,00;1,25;12,90;127,10
3,00;3,00;3,50;6,00;315,25;11,75;55,37;127,00
3,00;2,50;3,60;5,30;90,50;8,00;74,48;127,00
2,50;2,50;2,77;5,00;264,00;10,50;96,07;120,80
3,00;2,50;2,81;6,00;197,00;15,00;50,69;127,30
3,00;3,00;1,75;4,50;480,00;12,95;47,07;127,00
2,50;2,50;1,66;4,00;565,00;11,00;31,92;126,80
2,50;3,00;2,72;5,50;400,00;13,05;55,48;126,90
2,50;3,00;2,63;5,50;600,00;13,50;76,89;122,90
2,50;2,50;2,81;6,00;385,00;15,00;81,63;121,10
2,50;3,00;3,00;5,50;920,00;11,75;177,66;126,60
3,00;2,50;3,60;5,30;90,50;8,00;48,63;121,50
3,00;2,50;2,81;6,00;197,00;15,00;90,90;126,30
3,00;2,50;3,60;5,30;172,00;8,00;80,76;126,30
2,50;3,00;3,26;5,50;400,00;10,55;61,53;126,70
2,50;3,00;2,16;6,00;763,05;18,05;106,33;126,20
2,50;3,00;3,77;6,00;63,50;10,50;115,06;121,70
2,00;2,50;1,96;4,20;352,65;10,55;19,67;126,20
2,50;2,50;2,28;6,00;475,00;17,50;89,08;126,70
3,00;3,00;3,50;6,00;170,00;11,75;59,27;126,10
2,00;2,00;4,70;6,00;105,00;6,13;105,34;126,10
3,00;2,50;2,81;6,00;197,00;15,00;35,77;126,10
3,00;3,00;3,02;6,00;91,00;14,00;67,32;126,10
3,00;2,50;3,33;5,30;225,00;9,25;37,10;125,80
2,50;2,50;1,66;4,00;565,00;11,00;79,07;125,60
3,00;3,00;3,50;6,00;170,00;11,75;50,63;126,00
3,00;2,50;3,18;6,00;164,00;13,25;84,00;125,60
2,50;3,00;3,27;5,50;600,00;10,50;32,17;125,60
2,50;3,00;3,26;5,50;330,00;10,55;57,99;124,70
1,50;2,50;2,83;4,00;455,00;5,50;79,35;121,80
2,50;2,00;2,00;4,50;230,00;11,75;91,37;125,40
2,00;2,00;1,79;2,20;87,50;1,94;20,34;125,40
2,50;3,00;2,26;3,00;165,50;3,50;61,78;125,30
2,50;3,00;3,01;6,00;477,00;14,05;143,83;125,30
